batch,source_file,source_line,original_row_index,match_input,normalized_match_input,status,match_count,replacement_input,duplicate_target_within_batches
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,1,1,What is the spectral cutoff of InSb detectors?,What is the spectral cutoff of InSb detectors?,APPLIED,1,What is the spectral cutoff of InSb detectors and why does it matter for MWIR systems?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,2,2,Explain how to reduce 1/f noise in HgCdTe photoconductors.,Explain how to reduce 1/f noise in HgCdTe photoconductors.,APPLIED,1,Explain how to reduce 1/f noise in HgCdTe photoconductors and how to verify that the improvement is real.,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,3,3,List the key steps for Liquid Phase Epitaxy of HgCdTe.,List the key steps for Liquid Phase Epitaxy of HgCdTe.,APPLIED,1,List the key steps for Liquid Phase Epitaxy of HgCdTe and identify the variables that control wafer quality.,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,4,4,What is Johnson noise and how does it affect infrared detectors?,What is Johnson noise and how does it affect infrared detectors?,APPLIED,1,What is Johnson noise and how does it affect infrared photodetector measurements?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,5,5,Compare MOCVD and LPE for HgCdTe growth.,Compare MOCVD and LPE for HgCdTe growth.,APPLIED,1,Compare MOCVD and LPE for HgCdTe growth from a detector-engineering standpoint.,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,6,6,What are typical responsivity values for HgCdTe photoconductors?,What are typical responsivity values for HgCdTe photoconductors?,APPLIED,1,How should typical responsivity values for HgCdTe photoconductors be reported without misleading the reader?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,7,7,What causes generation-recombination noise in infrared detectors?,What causes generation-recombination noise in infrared detectors?,APPLIED,1,What causes generation-recombination noise in infrared detectors and how does it appear in a PSD?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,8,8,Define detectivity (D*) and how it's used.,Define detectivity (D*) and how it's used.,APPLIED,1,Define specific detectivity D* and explain how it should be used with voltage responsivity.,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,9,9,How is cutoff wavelength calculated for HgCdTe?,How is cutoff wavelength calculated for HgCdTe?,APPLIED,1,How is cutoff wavelength calculated for HgCdTe and what caveats matter?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,10,10,How does substrate choice affect HgCdTe detector performance?,How does substrate choice affect HgCdTe detector performance?,APPLIED,1,How does substrate choice affect HgCdTe detector performance?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,11,11,What are the standard pixel sizes in MWIR focal plane arrays?,What are the standard pixel sizes in MWIR focal plane arrays?,APPLIED,1,What are typical pixel pitches in MWIR focal plane arrays and what tradeoffs do they create?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,12,12,Explain the principle of photon absorption in semiconductors.,Explain the principle of photon absorption in semiconductors.,APPLIED,1,Explain photon absorption in semiconductors for infrared detector operation.,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,13,13,What is the ideal operating temperature for InSb detectors?,What is the ideal operating temperature for InSb detectors?,APPLIED,1,What operating temperature is typical for InSb detectors and why?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,14,14,How do choppers affect signal measurement in photoconductors?,How do choppers affect signal measurement in photoconductors?,APPLIED,1,How do optical choppers affect signal measurement in photoconductors?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,15,15,List noise sources in a typical HgCdTe photoconductor.,List noise sources in a typical HgCdTe photoconductor.,APPLIED,1,List and classify noise sources in a typical HgCdTe photoconductor.,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,16,16,Describe the structure of a typical HgCdTe photoconductor.,Describe the structure of a typical HgCdTe photoconductor.,APPLIED,1,Describe the structure and functional regions of a typical HgCdTe photoconductor.,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,17,17,What are common applications of MWIR sensors?,What are common applications of MWIR sensors?,APPLIED,1,What are common applications of MWIR sensors and why does the 3-5 µm band matter?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,18,18,How do carrier lifetimes affect photoconductor performance?,How do carrier lifetimes affect photoconductor performance?,APPLIED,1,"How do carrier lifetimes affect HgCdTe photoconductor responsivity, bandwidth, and noise?",False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,19,19,What is the typical composition of HgCdTe for 10 µm cutoff?,What is the typical composition of HgCdTe for 10 µm cutoff?,APPLIED,1,"What Cd composition is typical for HgCdTe near 10 µm cutoff, and why must the answer be caveated?",False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,20,20,Compare photoconductive and photovoltaic IR detectors.,Compare photoconductive and photovoltaic IR detectors.,APPLIED,1,"Compare photoconductive and photovoltaic infrared detectors in terms of physics, bias, signal, and noise.",False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,21,21,How does passivation improve HgCdTe detectors?,How does passivation improve HgCdTe detectors?,APPLIED,1,"How does passivation improve HgCdTe detectors, and what tradeoffs can occur?",False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,22,22,What is dark current and why is it important?,What is dark current and why is it important?,APPLIED,1,What is dark current and why is it important in infrared detectors?,False
